shape,z,posx,posy,scale,angle,thickness,energy,curveX,curveY,spread1,spread2,hue_bias,lightness_bias,texture
wave,1,81.28,60.38,68.97,201.12,8.91,0.714,-53.67,21.85,195.76,35.74,-34.84,0.404,1.027
spiral,2,74.73,81.2,70.4,237.16,6.81,0.35,5.54,24.97,271.8,181.3,32.3,-0.238,1.304
stroke,3,23.02,12.43,114.72,342.42,10.06,0.35,-13.91,0.96,221.28,119.9,-42.19,-0.057,1.96
stroke,4,74.42,72.89,159.29,71.86,8.31,0.775,48.45,-10.11,143.61,119.95,-68.08,-0.236,1.562
spiral,5,75.83,69.43,101.85,73.66,14.23,0.669,11.96,7.55,161.13,125.59,68.43,0.006,1.952
stroke,6,66.76,69.35,39.21,340.44,4.45,0.366,6.96,-12.43,133.81,77.69,32.22,0.135,4.595
cloud,7,15.62,38.25,141.72,35.65,10.03,0.644,11.91,-19.35,66.28,79.06,-33.12,-0.304,2.253
stroke,8,14.52,17.08,154.38,154.88,6.59,0.497,17.15,61.13,60.0,85.95,-8.16,-0.137,3.178
stroke,9,74.35,60.23,53.66,87.64,8.13,0.471,5.85,9.79,150.52,65.68,89.61,0.007,0.603
stroke,10,24.34,35.14,105.75,296.04,7.61,0.717,-3.61,-17.03,236.66,135.58,51.23,0.002,1.257
splatter,11,21.46,37.36,81.52,266.55,10.17,0.414,9.3,-11.75,228.4,25.0,69.95,0.384,2.07
splatter,12,16.69,36.92,189.48,26.6,5.45,0.692,-6.33,12.75,168.4,65.59,-29.79,0.117,0.903
wave,13,81.62,76.6,68.77,91.68,7.78,0.652,6.25,-19.81,217.29,81.61,-28.46,0.45,1.114
stroke,14,34.48,30.58,133.8,298.68,5.15,0.412,-30.58,0.01,187.1,40.59,120.0,0.199,0.976
wave,15,74.26,81.34,110.54,331.68,7.71,0.898,63.3,18.16,186.87,188.99,-27.93,-0.11,0.54
spiral,16,18.15,36.52,49.46,219.6,13.53,0.897,36.97,32.88,169.95,103.81,-58.22,-0.049,0.648
splatter,17,16.79,14.58,112.57,38.36,3.0,0.375,-40.99,-4.31,90.84,25.0,10.69,-0.168,2.073
splatter,18,31.4,32.02,135.22,284.74,3.56,0.566,17.98,-16.25,67.33,128.0,5.99,0.261,1.639
splatter,19,80.33,67.76,65.19,137.95,4.59,0.948,-9.54,-3.69,116.55,117.84,15.73,0.122,1.153
cloud,20,74.76,72.65,77.6,333.15,4.44,0.936,-9.81,-24.27,225.35,46.08,96.53,0.45,1.245
splatter,21,75.18,77.97,88.68,214.37,12.25,0.87,-27.68,1.9,98.31,25.0,9.13,-0.1,0.771
spiral,22,26.16,27.52,99.94,229.63,9.55,0.69,-15.36,-35.71,256.1,140.82,5.25,0.061,0.903
cloud,23,83.08,77.96,115.66,261.48,5.51,0.803,1.26,9.77,212.05,123.23,98.68,0.145,2.532
spiral,24,25.29,29.25,60.01,313.83,5.76,0.958,0.56,8.93,138.51,102.82,-13.26,-0.084,3.637
splatter,25,87.64,73.35,48.25,168.06,2.46,0.519,14.46,11.12,197.36,86.91,-59.47,0.243,2.983
wave,26,77.46,79.23,109.23,13.37,8.96,0.434,-13.23,45.84,99.75,90.33,91.06,0.04,0.838
blob,27,17.56,13.69,159.48,57.72,5.6,0.698,19.18,-2.43,116.98,64.71,74.35,-0.309,2.682
stroke,28,11.84,23.37,40.93,203.69,5.06,0.924,-25.92,-37.84,93.63,95.93,53.55,0.106,0.826
splatter,29,23.43,7.29,59.79,340.11,8.81,0.692,22.81,28.5,186.8,25.0,54.87,0.45,1.651
blob,30,14.72,16.25,61.88,279.63,5.49,0.837,35.58,17.65,81.11,157.8,111.23,-0.157,1.077
splatter,31,23.41,41.43,100.88,186.86,8.25,0.35,14.38,-19.18,126.03,82.17,64.31,0.008,1.012
wave,32,11.48,34.48,137.09,259.29,5.06,0.827,3.7,-0.86,150.65,83.55,9.4,-0.331,0.722
cloud,33,8.39,28.19,99.06,332.06,5.26,0.572,30.19,-42.57,90.71,99.37,21.01,0.317,0.889
blob,34,69.57,69.43,58.28,13.35,6.45,0.562,-3.11,-3.36,229.09,38.84,27.34,0.217,1.38
wave,35,27.69,40.82,124.92,140.54,11.72,0.662,3.68,-19.48,142.98,120.75,11.59,-0.014,0.56
splatter,36,28.17,28.43,104.89,256.75,6.93,0.947,-41.47,9.17,175.36,82.75,5.5,0.4,0.708
splatter,37,29.7,32.25,93.05,232.53,8.88,0.72,32.04,21.05,182.13,93.4,-41.2,-0.322,3.149
spiral,38,14.63,34.14,39.74,192.05,7.07,0.757,-0.6,23.1,165.25,75.19,120.0,-0.14,0.889
wave,39,18.94,17.97,91.02,287.69,4.48,0.583,22.01,-17.92,118.88,70.82,98.61,0.139,3.017
stroke,40,25.05,34.02,35.0,273.34,10.16,0.651,-29.02,-11.24,211.02,138.63,7.75,0.2,0.753
cloud,41,7.67,10.74,164.97,9.03,4.49,0.538,7.16,-3.44,261.4,111.53,62.32,0.368,1.243
cloud,42,24.28,28.22,78.69,233.19,8.29,0.581,7.14,-40.2,176.41,25.14,51.79,0.059,0.924
blob,43,30.48,25.71,80.77,220.55,7.86,0.671,15.49,55.48,192.67,82.52,-6.49,-0.273,0.5
stroke,44,24.12,17.55,114.15,182.35,6.68,0.974,-34.79,-23.1,186.27,91.4,-12.59,0.096,4.201
stroke,45,85.88,80.01,38.27,265.63,9.81,0.711,25.67,-26.86,188.46,103.36,47.8,0.004,2.736
splatter,46,92.45,62.91,37.28,201.95,10.1,0.839,-34.05,-4.23,99.43,82.15,78.36,-0.054,1.683
blob,47,27.85,20.05,41.56,125.6,7.59,0.831,30.37,-32.39,140.16,71.28,87.71,-0.288,2.218
cloud,48,47.16,37.83,156.68,46.98,11.0,0.755,41.82,12.6,229.62,116.14,-5.31,0.107,0.684
wave,49,30.36,21.71,103.73,48.87,8.08,0.749,-15.53,8.98,60.0,86.88,-4.71,-0.114,1.978
stroke,50,18.11,33.68,145.54,10.1,7.94,0.755,-41.48,13.47,243.27,164.59,52.99,0.087,0.815
spiral,51,25.45,13.99,35.0,56.35,3.45,0.685,-59.19,-17.86,60.0,220.0,52.71,0.312,1.622
blob,52,69.17,77.49,56.44,142.01,12.67,0.718,-33.38,19.95,60.0,86.31,34.28,-0.029,1.273
spiral,53,78.64,65.75,187.13,70.82,12.08,0.933,5.82,11.29,119.0,77.36,120.0,0.435,2.827
spiral,54,74.68,64.64,148.44,308.0,10.13,0.728,-3.08,-26.75,113.74,145.78,-89.27,-0.175,0.761
wave,55,75.54,59.8,85.97,22.35,9.01,0.689,8.44,16.72,93.05,83.03,50.09,0.45,1.794
blob,56,8.24,30.91,42.82,208.56,4.87,0.609,-27.33,-32.75,226.81,28.96,-51.2,0.087,2.225
cloud,57,22.3,25.54,45.09,179.78,8.68,0.715,-13.98,-23.11,60.0,99.32,0.07,0.271,1.293
stroke,58,76.81,90.47,110.91,266.51,8.63,0.86,10.65,-22.48,198.39,100.83,-6.96,0.093,1.36
spiral,59,79.8,63.35,48.51,348.35,7.63,0.448,1.79,21.53,133.02,90.27,27.21,0.275,2.035
splatter,60,19.69,18.96,74.01,132.13,11.01,0.857,24.7,15.94,60.0,124.08,-12.0,0.275,1.159
stroke,61,23.67,24.58,75.09,42.9,8.8,0.675,-43.45,-20.34,266.59,65.57,-4.9,-0.006,1.859
wave,62,84.12,73.7,46.76,87.16,11.3,0.857,14.78,6.37,173.43,65.74,56.61,-0.45,1.609
spiral,63,10.99,0.0,56.13,71.86,6.55,0.701,-61.89,-41.5,180.82,64.56,36.78,-0.053,0.73
wave,64,79.27,77.42,89.11,96.12,12.67,0.35,-23.79,-21.21,247.14,72.68,-58.75,-0.039,0.841
cloud,65,9.51,8.85,70.5,146.62,9.78,0.759,-64.75,25.59,248.45,86.12,-8.14,0.305,1.724
spiral,66,75.85,75.38,90.09,179.52,8.19,0.715,-29.48,-5.34,112.28,88.38,24.08,0.328,1.603
stroke,67,22.08,31.72,127.45,116.19,9.36,0.859,43.04,40.14,60.0,102.1,-4.78,0.134,0.802
