shape,z,posx,posy,scale,angle,thickness,energy,curveX,curveY,spread1,spread2,hue_bias,lightness_bias,texture
spiral,1,81.28,60.38,68.97,201.12,8.91,0.714,-53.67,21.85,195.76,35.74,-34.84,0.404,1.027
blob,2,74.73,81.2,70.4,237.16,6.81,0.35,5.54,24.97,271.8,181.3,32.3,-0.238,1.304
cloud,3,23.02,12.43,114.72,342.42,10.06,0.35,-13.91,0.96,221.28,119.9,-42.19,-0.057,1.96
wave,4,74.42,72.89,159.29,71.86,8.31,0.775,48.45,-10.11,143.61,119.95,-68.08,-0.236,1.562
splatter,5,75.83,69.43,101.85,73.66,14.23,0.669,11.96,7.55,161.13,125.59,68.43,0.006,1.952
splatter,6,66.76,69.35,39.21,340.44,4.45,0.366,6.96,-12.43,133.81,77.69,32.22,0.135,4.595
stroke,7,15.62,38.25,141.72,360.0,10.03,0.644,11.91,-19.35,66.28,79.06,-33.12,-0.304,2.253
spiral,8,56.21,25.49,123.66,250.2,7.96,0.749,-17.34,14.54,200.0,150.0,0.0,0.0,1.5
spiral,9,50.0,50.0,80.0,0.0,12.0,0.5,0.0,0.0,100.0,60.0,240.0,0.0,1.2
stroke,10,50.0,50.0,150.0,0.0,8.0,0.8,0.0,0.0,180.0,120.0,240.0,0.2,2.0
